 i       X     FEXACT   FI_LAXW   ERR_LAXW
 246   0.15385   0.82296   0.79912   0.02384
 247   0.15447   0.82521   0.79677   0.02844
 248   0.15510   0.82741   0.79441   0.03300
 249   0.15572   0.82963   0.79204   0.03759
 250   0.15635   0.83180   0.78965   0.04215
 251   0.15697   0.83397   0.78726   0.04671
 252   0.15760   0.83615   0.78485   0.05130
 253   0.15822   0.83828   0.78243   0.05585
 254   0.15885   0.84044   0.78000   0.06044
 255   0.15947   0.84255   0.77756   0.06499
 256   0.16010   0.84465   0.77510   0.06954
 257   0.16073   0.84677   0.77264   0.07413
 258   0.16135   0.84884   0.77016   0.07868
 259   0.16198   0.85093   0.76767   0.08326
 260   0.16260   0.85297   0.76517   0.08781
 261   0.16323   0.85501   0.76265   0.09235
 262   0.16385   0.85703   0.76012   0.09690
 263   0.16448   0.85906   0.75759   0.10148
 264   0.16510   0.86106   0.75504   0.10602
 265   0.16573   0.86304   0.75247   0.11056
 266   0.16635   0.86503   0.74990   0.11513
 267   0.16698   0.86699   0.74731   0.11967
 268   0.16760   0.86896   0.74471   0.12424
 269   0.16823   0.87088   0.74210   0.12878
 270   0.16886   0.87280   0.73948   0.13331
 271   0.16948   0.87473   0.73685   0.13788
 272   0.17011   0.87661   0.73420   0.14241
 273   0.17073   0.87851   0.73154   0.14697
 274   0.17136   0.88037   0.72887   0.15150
 275   0.17198   0.88222   0.72619   0.15603
 276   0.17261   0.88408   0.72350   0.16058
 277   0.17323   0.88590   0.72079   0.16511
 278   0.17386   0.88773   0.71807   0.16966
 279   0.17448   0.88952   0.71534   0.17418
 280   0.17511   0.89130   0.71260   0.17870
 281   0.17573   0.89309   0.70985   0.18324
 282   0.17636   0.89484   0.70708   0.18776
 283   0.17699   0.89661   0.70431   0.19230
 284   0.17761   0.89833   0.70152   0.19681
 285   0.17824   0.90004   0.69872   0.20132
 286   0.17886   0.90176   0.69590   0.20586
 287   0.17949   0.90344   0.69308   0.21036
 288   0.18011   0.90514   0.69024   0.21489
 289   0.18074   0.90679   0.68740   0.21939
 290   0.18136   0.90843   0.68454   0.22389
 291   0.18199   0.91008   0.68167   0.22841
 292   0.18261   0.91169   0.67880   0.23290
 293   0.18324   0.91332   0.67591   0.23741
 294   0.18386   0.91490   0.67301   0.24189
 295   0.18449   0.91647   0.67010   0.24637
 296   0.18512   0.91803   0.66718   0.25085
 297   0.18574   0.91957   0.66425   0.25532
 298   0.18637   0.92112   0.66131   0.25981
 299   0.18699   0.92263   0.65836   0.26428
 300   0.18762   0.92416   0.65540   0.26876
 301   0.18824   0.92564   0.65243   0.27321
 302   0.18887   0.92711   0.64945   0.27767
 303   0.18949   0.92859   0.64645   0.28214
 304   0.19012   0.93003   0.64345   0.28658
 305   0.19074   0.93149   0.64044   0.29104
 306   0.19137   0.93290   0.63742   0.29548
 307   0.19199   0.93430   0.63439   0.29991
 308   0.19262   0.93571   0.63135   0.30435
 309   0.19325   0.93708   0.62830   0.30878
 310   0.19387   0.93845   0.62524   0.31321
 311   0.19450   0.93980   0.62217   0.31762
 312   0.19512   0.94112   0.61909   0.32203
 313   0.19575   0.94246   0.61600   0.32645
 314   0.19637   0.94376   0.61291   0.33085
 315   0.19700   0.94506   0.60980   0.33526
 316   0.19762   0.94633   0.60668   0.33965
 317   0.19825   0.94759   0.60356   0.34403
 318   0.19887   0.94885   0.60042   0.34843
 319   0.19950   0.95007   0.59727   0.35280
 320   0.20013   0.95130   0.59412   0.35718
 321   0.20075   0.95250   0.59096   0.36154
 322   0.20138   0.95368   0.58778   0.36590
 323   0.20200   0.95487   0.58460   0.37027
 324   0.20263   0.95602   0.58141   0.37461
 325   0.20325   0.95718   0.57821   0.37896
 326   0.20388   0.95830   0.57500   0.38330
 327   0.20450   0.95943   0.57179   0.38764
 328   0.20513   0.96052   0.56856   0.39196
 329   0.20575   0.96160   0.56532   0.39628
 330   0.20638   0.96268   0.56208   0.40060
 331   0.20700   0.96371   0.55883   0.40489
 332   0.20763   0.96477   0.55557   0.40920
 333   0.20826   0.96579   0.55230   0.41349
 334   0.20888   0.96681   0.54902   0.41779
 335   0.20951   0.96780   0.54573   0.42207
 336   0.21013   0.96877   0.54243   0.42634
 337   0.21076   0.96975   0.53913   0.43062
 338   0.21138   0.97070   0.53582   0.43488
 339   0.21201   0.97164   0.53250   0.43914
 340   0.21263   0.97256   0.52917   0.44339
 341   0.21326   0.97346   0.52583   0.44763
 342   0.21388   0.97436   0.52249   0.45187
 343   0.21451   0.97523   0.51914   0.45609
 344   0.21513   0.97610   0.51578   0.46032
 345   0.21576   0.97694   0.51241   0.46453
 346   0.21639   0.97777   0.50903   0.46874
 347   0.21701   0.97859   0.50565   0.47294
 348   0.21764   0.97939   0.50226   0.47713
