 i       X     FEXACT   FI_UPWIND   ERR_UP
 187   0.11695   0.67043   0.81048   0.14005
 188   0.11757   0.67337   0.80908   0.13571
 189   0.11820   0.67625   0.80767   0.13142
 190   0.11882   0.67913   0.80625   0.12713
 191   0.11945   0.68203   0.80482   0.12279
 192   0.12008   0.68488   0.80337   0.11849
 193   0.12070   0.68772   0.80192   0.11419
 194   0.12133   0.69056   0.80045   0.10989
 195   0.12195   0.69342   0.79896   0.10555
 196   0.12258   0.69623   0.79747   0.10124
 197   0.12320   0.69907   0.79597   0.09689
 198   0.12383   0.70186   0.79445   0.09259
 199   0.12445   0.70464   0.79292   0.08828
 200   0.12508   0.70745   0.79138   0.08393
 201   0.12570   0.71020   0.78982   0.07962
 202   0.12633   0.71299   0.78826   0.07527
 203   0.12695   0.71572   0.78668   0.07096
 204   0.12758   0.71844   0.78509   0.06665
 205   0.12821   0.72120   0.78349   0.06230
 206   0.12883   0.72390   0.78188   0.05798
 207   0.12946   0.72663   0.78026   0.05363
 208   0.13008   0.72931   0.77862   0.04931
 209   0.13071   0.73198   0.77697   0.04500
 210   0.13133   0.73467   0.77531   0.04064
 211   0.13196   0.73732   0.77364   0.03632
 212   0.13258   0.73999   0.77195   0.03196
 213   0.13321   0.74261   0.77026   0.02765
 214   0.13383   0.74522   0.76855   0.02333
 215   0.13446   0.74786   0.76683   0.01897
 216   0.13508   0.75045   0.76510   0.01465
 217   0.13571   0.75307   0.76335   0.01029
 218   0.13634   0.75563   0.76160   0.00597
 219   0.13696   0.75818   0.75983   0.00165
 220   0.13759   0.76076   0.75805   0.00272
 221   0.13821   0.76329   0.75626   0.00704
 222   0.13884   0.76585   0.75445   0.01140
 223   0.13946   0.76836   0.75264   0.01572
 224   0.14009   0.77085   0.75081   0.02004
 225   0.14071   0.77337   0.74897   0.02440
 226   0.14134   0.77580   0.74712   0.02869
 227   0.14196   0.77830   0.74525   0.03305
 228   0.14259   0.78075   0.74338   0.03737
 229   0.14321   0.78322   0.74149   0.04173
 230   0.14384   0.78564   0.73959   0.04605
 231   0.14447   0.78805   0.73768   0.05037
 232   0.14509   0.79049   0.73576   0.05473
 233   0.14572   0.79288   0.73383   0.05905
 234   0.14634   0.79529   0.73188   0.06341
 235   0.14697   0.79765   0.72992   0.06773
 236   0.14759   0.80000   0.72796   0.07204
 237   0.14822   0.80237   0.72598   0.07640
 238   0.14884   0.80470   0.72399   0.08071
 239   0.14947   0.80705   0.72199   0.08506
 240   0.15009   0.80935   0.71998   0.08937
 241   0.15072   0.81164   0.71795   0.09368
 242   0.15134   0.81395   0.71592   0.09803
 243   0.15197   0.81621   0.71387   0.10234
 244   0.15260   0.81850   0.71181   0.10668
 245   0.15322   0.82073   0.70975   0.11099
 246   0.15385   0.82296   0.70767   0.11529
 247   0.15447   0.82521   0.70558   0.11963
