 i       X     FEXACT   FI_LAXF   ERR_LAXF
 203   0.01754   0.17517    0.259681    0.084510
 204   0.02256   0.22583    0.259932    0.034102
 205   0.02757   0.27588    0.259688    0.016191
 206   0.03258   0.32593    0.259939    0.065989
 207   0.03759   0.37598    0.259696    0.116281
 208   0.04261   0.42603    0.259947    0.166078
 209   0.04762   0.47607    0.259704    0.216370
 210   0.05263   0.52612    0.259956    0.266167
 211   0.05764   0.57617    0.259714    0.316458
 212   0.06266   0.62683    0.259966    0.366865
 213   0.06767   0.67688    0.259725    0.417155
 214   0.07268   0.72693    0.259977    0.466951
 215   0.07769   0.77698    0.259737    0.517241
 216   0.08271   0.82703    0.259989    0.567037
 217   0.08772   0.87708    0.259750    0.617325
 218   0.09273   0.92712    0.260002    0.667122
 219   0.09774   0.97717    0.259764    0.717409
 220   0.10276   0.97217    0.260016    0.712152
 221   0.10777   0.92212    0.259778    0.662341
 222   0.11278   0.87207    0.260031    0.612039
 223   0.11779   0.82202    0.259794    0.562227
 224   0.12281   0.77197    0.260047    0.511926
 225   0.12782   0.72192    0.259811    0.462113
 226   0.13283   0.67188    0.260063    0.411812
 227   0.13784   0.62183    0.259829    0.361997
 228   0.14286   0.57117    0.260081    0.311086
 229   0.14787   0.52112    0.259847    0.261271
 230   0.15288   0.47107    0.260099    0.210971
 231   0.15789   0.42102    0.259867    0.161154
 232   0.16291   0.37097    0.260118    0.110854
 233   0.16792   0.32092    0.259887    0.061036
 234   0.17293   0.27087    0.260137    0.010737
 235   0.17794   0.22083    0.259907    0.039082
 236   0.18296   0.17017    0.260158    0.089992
 237   0.18797   0.12012    0.259929    0.139812
 238   0.19298   0.07007    0.260179    0.190111
 239   0.19799   0.02002    0.259952    0.239932
 240   0.20301   0.00000    0.260201    0.260201
 241   0.20802   0.00000    0.259975    0.259975
 242   0.21303   0.00000    0.260223    0.260223
 243   0.21805   0.00000    0.259999    0.259999
 244   0.22306   0.00000    0.260247    0.260247
 245   0.22807   0.00000    0.260024    0.260024
 246   0.23308   0.00000    0.260271    0.260271
 247   0.23810   0.00000    0.260050    0.260050
 248   0.24311   0.00000    0.260295    0.260295
