 # t   L1   L2   Linf
  0.16300000E+03  0.63425353E+00  0.52238802E+00  0.79303831E+00
  0.16400000E+03  0.63288420E+00  0.52181858E+00  0.79328016E+00
  0.16500000E+03  0.63248062E+00  0.52103888E+00  0.79533449E+00
  0.16600000E+03  0.63317320E+00  0.52212150E+00  0.79570547E+00
  0.16700000E+03  0.63461111E+00  0.52269819E+00  0.79545151E+00
  0.16800000E+03  0.63388348E+00  0.52236869E+00  0.79365411E+00
  0.16900000E+03  0.63562384E+00  0.52318833E+00  0.79210143E+00
  0.17000000E+03  0.63427113E+00  0.52261707E+00  0.79230174E+00
  0.17100000E+03  0.63380544E+00  0.52180853E+00  0.79437129E+00
  0.17200000E+03  0.63451977E+00  0.52290968E+00  0.79475177E+00
  0.17300000E+03  0.63593206E+00  0.52347514E+00  0.79451296E+00
  0.17400000E+03  0.63521453E+00  0.52314213E+00  0.79273067E+00
  0.17500000E+03  0.63693952E+00  0.52394970E+00  0.79118736E+00
  0.17600000E+03  0.63559405E+00  0.52337736E+00  0.79134619E+00
  0.17700000E+03  0.63506832E+00  0.52254107E+00  0.79343070E+00
  0.17800000E+03  0.63580514E+00  0.52366059E+00  0.79382046E+00
  0.17900000E+03  0.63719273E+00  0.52421517E+00  0.79359650E+00
  0.18000000E+03  0.63648500E+00  0.52387949E+00  0.79182900E+00
  0.18100000E+03  0.63819949E+00  0.52467543E+00  0.79029479E+00
  0.18200000E+03  0.63685811E+00  0.52410265E+00  0.79041245E+00
  0.18300000E+03  0.63627428E+00  0.52323961E+00  0.79251162E+00
  0.18400000E+03  0.63703420E+00  0.52437727E+00  0.79291039E+00
  0.18500000E+03  0.63839790E+00  0.52492130E+00  0.79270096E+00
  0.18600000E+03  0.63769964E+00  0.52458370E+00  0.79094792E+00
  0.18700000E+03  0.63940358E+00  0.52536839E+00  0.78942255E+00
  0.18800000E+03  0.63806784E+00  0.52479577E+00  0.78949953E+00
  0.18900000E+03  0.63742895E+00  0.52390685E+00  0.79161302E+00
  0.19000000E+03  0.63821122E+00  0.52506242E+00  0.79202057E+00
  0.19100000E+03  0.63955179E+00  0.52559619E+00  0.79182532E+00
  0.19200000E+03  0.63886265E+00  0.52525733E+00  0.79008638E+00
  0.19300000E+03  0.64055597E+00  0.52603114E+00  0.78856959E+00
  0.19400000E+03  0.63922726E+00  0.52545917E+00  0.78860651E+00
  0.19500000E+03  0.63853759E+00  0.52454520E+00  0.79073398E+00
  0.19600000E+03  0.63934000E+00  0.52571841E+00  0.79115005E+00
  0.19700000E+03  0.64065814E+00  0.52624220E+00  0.79096863E+00
  0.19800000E+03  0.63997776E+00  0.52590267E+00  0.78924343E+00
  0.19900000E+03  0.64166040E+00  0.52666593E+00  0.78773496E+00
  0.20000000E+03  0.64033995E+00  0.52609507E+00  0.78773258E+00
  0.20100000E+03  0.63960099E+00  0.52515680E+00  0.78987367E+00
  0.20200000E+03  0.64042392E+00  0.52634737E+00  0.79029801E+00
  0.20300000E+03  0.64172028E+00  0.52686143E+00  0.79013005E+00
  0.20400000E+03  0.64104831E+00  0.52652176E+00  0.78841822E+00
  0.20500000E+03  0.64272021E+00  0.52727477E+00  0.78691782E+00
  0.20600000E+03  0.64140912E+00  0.52670544E+00  0.78687697E+00
  0.20700000E+03  0.64063389E+00  0.52574356E+00  0.78903132E+00
  0.20800000E+03  0.64146604E+00  0.52695120E+00  0.78946370E+00
  0.20900000E+03  0.64274121E+00  0.52745576E+00  0.78930883E+00
  0.21000000E+03  0.64207729E+00  0.52711645E+00  0.78761000E+00
  0.21100000E+03  0.64373842E+00  0.52785949E+00  0.78611742E+00
  0.21200000E+03  0.64243764E+00  0.52729204E+00  0.78603900E+00
  0.21300000E+03  0.64162852E+00  0.52630722E+00  0.78820624E+00
  0.21400000E+03  0.64246909E+00  0.52753162E+00  0.78864642E+00
  0.21500000E+03  0.64372363E+00  0.52802691E+00  0.78850427E+00
  0.21600000E+03  0.64306741E+00  0.52768839E+00  0.78681807E+00
  0.21700000E+03  0.64471774E+00  0.52842173E+00  0.78533308E+00
  0.21800000E+03  0.64342813E+00  0.52785648E+00  0.78521803E+00
  0.21900000E+03  0.64258610E+00  0.52684932E+00  0.78739781E+00
  0.22000000E+03  0.64343554E+00  0.52809018E+00  0.78784555E+00
  0.22100000E+03  0.64466998E+00  0.52857642E+00  0.78771576E+00
  0.22200000E+03  0.64402113E+00  0.52823907E+00  0.78604183E+00
  0.22300000E+03  0.64566063E+00  0.52896297E+00  0.78456418E+00
  0.22400000E+03  0.64438296E+00  0.52840022E+00  0.78441349E+00
  0.22500000E+03  0.64350895E+00  0.52737129E+00  0.78660544E+00
  0.22600000E+03  0.64436766E+00  0.52862829E+00  0.78706051E+00
  0.22700000E+03  0.64558249E+00  0.52910569E+00  0.78694272E+00
  0.22800000E+03  0.64494068E+00  0.52876988E+00  0.78528069E+00
  0.22900000E+03  0.64656935E+00  0.52948457E+00  0.78381017E+00
  0.23000000E+03  0.64530429E+00  0.52892459E+00  0.78362483E+00
  0.23100000E+03  0.64439918E+00  0.52787443E+00  0.78582859E+00
  0.23200000E+03  0.64526749E+00  0.52914725E+00  0.78629078E+00
  0.23300000E+03  0.64646320E+00  0.52961602E+00  0.78618463E+00
  0.23400000E+03  0.64582810E+00  0.52928206E+00  0.78453415E+00
  0.23500000E+03  0.64744595E+00  0.52998777E+00  0.78307054E+00
  0.23600000E+03  0.64619408E+00  0.52943078E+00  0.78285156E+00
  0.23700000E+03  0.64525870E+00  0.52835991E+00  0.78506678E+00
  0.23800000E+03  0.64614314E+00  0.52964825E+00  0.78553587E+00
  0.23900000E+03  0.64731394E+00  0.53010857E+00  0.78544101E+00
  0.24000000E+03  0.64668526E+00  0.52977675E+00  0.78380173E+00
  0.24100000E+03  0.64829229E+00  0.53047371E+00  0.78234482E+00
  0.24200000E+03  0.64705415E+00  0.52991992E+00  0.78209320E+00
  0.24300000E+03  0.64608930E+00  0.52882881E+00  0.78431954E+00
  0.24400000E+03  0.64699507E+00  0.53013236E+00  0.78479533E+00
  0.24500000E+03  0.64813643E+00  0.53058442E+00  0.78471142E+00
  0.24600000E+03  0.64751388E+00  0.53025501E+00  0.78308299E+00
  0.24700000E+03  0.64911011E+00  0.53094342E+00  0.78163257E+00
  0.24800000E+03  0.64788615E+00  0.53039303E+00  0.78134932E+00
  0.24900000E+03  0.64689257E+00  0.52928215E+00  0.78358644E+00
  0.25000000E+03  0.64781965E+00  0.53060059E+00  0.78406872E+00
  0.25100000E+03  0.64893223E+00  0.53104458E+00  0.78399543E+00
  0.25200000E+03  0.64831553E+00  0.53071780E+00  0.78237753E+00
  0.25300000E+03  0.64990100E+00  0.53139787E+00  0.78093341E+00
  0.25400000E+03  0.64869162E+00  0.53085104E+00  0.78061951E+00
  0.25500000E+03  0.64767003E+00  0.52972083E+00  0.78286707E+00
  0.25600000E+03  0.64861834E+00  0.53105386E+00  0.78335566E+00
  0.25700000E+03  0.64970277E+00  0.53148995E+00  0.78329266E+00
  0.25800000E+03  0.64909166E+00  0.53116603E+00  0.78168496E+00
  0.25900000E+03  0.65066641E+00  0.53183794E+00  0.78024695E+00
  0.26000000E+03  0.64947197E+00  0.53129482E+00  0.77990337E+00
  0.26100000E+03  0.64842304E+00  0.53014570E+00  0.78216107E+00
  0.26200000E+03  0.64939248E+00  0.53149302E+00  0.78265576E+00
  0.26300000E+03  0.65044940E+00  0.53192139E+00  0.78260274E+00
  0.26400000E+03  0.64984363E+00  0.53160051E+00  0.78100494E+00
  0.26500000E+03  0.65140770E+00  0.53226445E+00  0.77957285E+00
  0.26600000E+03  0.65022849E+00  0.53172518E+00  0.77920053E+00
  0.26700000E+03  0.64915288E+00  0.53055755E+00  0.78146805E+00
  0.26800000E+03  0.65014335E+00  0.53191886E+00  0.78196867E+00
  0.26900000E+03  0.65117335E+00  0.53233967E+00  0.78192532E+00
  0.27000000E+03  0.65057267E+00  0.53202201E+00  0.78033711E+00
  0.27100000E+03  0.65212611E+00  0.53267817E+00  0.77891077E+00
  0.27200000E+03  0.65096241E+00  0.53214285E+00  0.77851065E+00
  0.27300000E+03  0.64986073E+00  0.53095711E+00  0.78078769E+00
  0.27400000E+03  0.65087210E+00  0.53233212E+00  0.78129406E+00
  0.27500000E+03  0.65187575E+00  0.53274553E+00  0.78126009E+00
  0.27600000E+03  0.65127994E+00  0.53243124E+00  0.77968118E+00
  0.27700000E+03  0.65282627E+00  0.53307978E+00  0.77826041E+00
  0.27800000E+03  0.65167484E+00  0.53254853E+00  0.77783338E+00
  0.27900000E+03  0.65054768E+00  0.53134504E+00  0.78011966E+00
  0.28000000E+03  0.65157981E+00  0.53273346E+00  0.78063161E+00
  0.28100000E+03  0.65255768E+00  0.53313964E+00  0.78060673E+00
  0.28200000E+03  0.65197126E+00  0.53282885E+00  0.77903683E+00
  0.28300000E+03  0.65350878E+00  0.53346996E+00  0.77762148E+00
  0.28400000E+03  0.65236682E+00  0.53294286E+00  0.77716841E+00
  0.28500000E+03  0.65121477E+00  0.53172197E+00  0.77946363E+00
  0.28600000E+03  0.65226749E+00  0.53312354E+00  0.77998100E+00
  0.28700000E+03  0.65322011E+00  0.53352262E+00  0.77996493E+00
  0.28800000E+03  0.65264343E+00  0.53321547E+00  0.77840378E+00
  0.28900000E+03  0.65417185E+00  0.53384929E+00  0.77699368E+00
  0.29000000E+03  0.65303934E+00  0.53332642E+00  0.77651543E+00
  0.29100000E+03  0.65186293E+00  0.53208850E+00  0.77881933E+00
  0.29200000E+03  0.65293607E+00  0.53350292E+00  0.77934195E+00
  0.29300000E+03  0.65386397E+00  0.53389507E+00  0.77933443E+00
  0.29400000E+03  0.65329660E+00  0.53359165E+00  0.77778175E+00
  0.29500000E+03  0.65481639E+00  0.53421835E+00  0.77637675E+00
  0.29600000E+03  0.65369329E+00  0.53369978E+00  0.77587414E+00
  0.29700000E+03  0.65249304E+00  0.53244515E+00  0.77818645E+00
  0.29800000E+03  0.65358643E+00  0.53387216E+00  0.77871418E+00
  0.29900000E+03  0.65449012E+00  0.53425752E+00  0.77871495E+00
  0.30000000E+03  0.65393165E+00  0.53395794E+00  0.77717049E+00
  0.30100000E+03  0.65544326E+00  0.53457766E+00  0.77577044E+00
  0.30200000E+03  0.65432952E+00  0.53406344E+00  0.77524426E+00
  0.30300000E+03  0.65310595E+00  0.53279244E+00  0.77756473E+00
  0.30400000E+03  0.65421939E+00  0.53423177E+00  0.77809742E+00
  0.30500000E+03  0.65509936E+00  0.53461048E+00  0.77810623E+00
  0.30600000E+03  0.65454940E+00  0.53431481E+00  0.77656974E+00
  0.30700000E+03  0.65605326E+00  0.53492772E+00  0.77517451E+00
  0.30800000E+03  0.65494882E+00  0.53441790E+00  0.77462551E+00
  0.30900000E+03  0.65370241E+00  0.53313082E+00  0.77695391E+00
  0.31000000E+03  0.65483572E+00  0.53458223E+00  0.77749140E+00
  0.31100000E+03  0.65569244E+00  0.53495443E+00  0.77750802E+00
  0.31200000E+03  0.65515062E+00  0.53466275E+00  0.77597927E+00
  0.31300000E+03  0.65664713E+00  0.53526897E+00  0.77458871E+00
  0.31400000E+03  0.65555193E+00  0.53476359E+00  0.77401764E+00
  0.31500000E+03  0.65428316E+00  0.53346076E+00  0.77635372E+00
  0.31600000E+03  0.65543613E+00  0.53492398E+00  0.77689589E+00
  0.31700000E+03  0.65627007E+00  0.53528980E+00  0.77692008E+00
  0.31800000E+03  0.65573604E+00  0.53500217E+00  0.77539884E+00
  0.31900000E+03  0.65722557E+00  0.53560185E+00  0.77401282E+00
  0.32000000E+03  0.65613956E+00  0.53510094E+00  0.77342039E+00
  0.32100000E+03  0.65484887E+00  0.53378264E+00  0.77576392E+00
  0.32200000E+03  0.65602130E+00  0.53525744E+00  0.77631065E+00
  0.32300000E+03  0.65683459E+00  0.53561701E+00  0.77634218E+00
  0.32400000E+03  0.65631349E+00  0.53533348E+00  0.77482823E+00
  0.32500000E+03  0.65778925E+00  0.53592675E+00  0.77344663E+00
  0.32600000E+03  0.65671234E+00  0.53543034E+00  0.77283351E+00
  0.32700000E+03  0.65540017E+00  0.53409687E+00  0.77518429E+00
  0.32800000E+03  0.65659185E+00  0.53558299E+00  0.77573543E+00
